,Brewery,Name,Rating,Price
0,Boatrocker Brewing Company,Coffee Ramjet (2016),4.492,$17.00
1,Hawkers Beer,Imperial Stout (2016),4.138,$10.00
2,Brouwerij De Molen,Rasputin,3.951,$15.00
3,BrewDog,Dog D,4.374,$30.00
4,Brouwerij De Molen,Hel & Verdoemenis Bruichladdich BA - Brett,4.132,$20.00
5,Deschutes Brewery,The Abyss,4.201,$65.00
6,BrewDog,Dog E,4.251,$32.00
7,BrewDog,Dog C,4.347,$30.00
8,Brouwerij De Molen,Spanning & Sensatie,4.013,$15.00
9,Brouwerij De Molen,Hel & Verdoemenis Bruichladdich (peated) BA,4.198,$19.00
10,Brouwerij De Molen,Hel & Verdoemenis,4.036,$15.00
